,time_step,lai_factor
0,2023010100,0.34889109609936825
1,2023010101,0.34889109609936825
2,2023010102,0.34889109609936825
3,2023010103,0.34889109609936825
4,2023010104,0.34889109609936825
5,2023010105,0.34889109609936825
6,2023010106,0.34889109609936825
7,2023010107,0.34889109609936825
8,2023010108,0.34889109609936825
9,2023010109,0.34889109609936825
10,2023010110,0.34889109609936825
11,2023010111,0.34889109609936825
12,2023010112,0.34889109609936825
13,2023010113,0.34889109609936825
14,2023010114,0.34889109609936825
15,2023010115,0.34889109609936825
16,2023010116,0.34889109609936825
17,2023010117,0.34889109609936825
18,2023010118,0.34889109609936825
19,2023010119,0.34889109609936825
20,2023010120,0.34889109609936825
21,2023010121,0.34889109609936825
22,2023010122,0.34889109609936825
23,2023010123,0.34889109609936825
24,2023010200,0.34889109609936825
25,2023010201,0.34889109609936825
26,2023010202,0.34889109609936825
27,2023010203,0.34889109609936825
28,2023010204,0.34889109609936825
29,2023010205,0.34889109609936825
30,2023010206,0.34889109609936825
31,2023010207,0.34889109609936825
32,2023010208,0.34889109609936825
33,2023010209,0.34889109609936825
34,2023010210,0.34889109609936825
35,2023010211,0.34889109609936825
36,2023010212,0.34889109609936825
37,2023010213,0.34889109609936825
38,2023010214,0.34889109609936825
39,2023010215,0.34889109609936825
40,2023010216,0.34889109609936825
41,2023010217,0.34889109609936825
42,2023010218,0.34889109609936825
43,2023010219,0.34889109609936825
44,2023010220,0.34889109609936825
45,2023010221,0.34889109609936825
46,2023010222,0.34889109609936825
47,2023010223,0.34889109609936825
48,2023010300,0.34889109609936825
49,2023010301,0.34889109609936825
50,2023010302,0.34889109609936825
51,2023010303,0.34889109609936825
52,2023010304,0.34889109609936825
53,2023010305,0.34889109609936825
54,2023010306,0.34889109609936825
55,2023010307,0.34889109609936825
56,2023010308,0.34889109609936825
57,2023010309,0.34889109609936825
58,2023010310,0.34889109609936825
59,2023010311,0.34889109609936825
60,2023010312,0.34889109609936825
61,2023010313,0.34889109609936825
62,2023010314,0.34889109609936825
63,2023010315,0.34889109609936825
64,2023010316,0.34889109609936825
65,2023010317,0.34889109609936825
66,2023010318,0.34889109609936825
67,2023010319,0.34889109609936825
68,2023010320,0.34889109609936825
69,2023010321,0.34889109609936825
70,2023010322,0.34889109609936825
71,2023010323,0.34889109609936825
72,2023010400,0.34889109609936825
73,2023010401,0.34889109609936825
74,2023010402,0.34889109609936825
75,2023010403,0.34889109609936825
76,2023010404,0.34889109609936825
77,2023010405,0.34889109609936825
78,2023010406,0.34889109609936825
79,2023010407,0.34889109609936825
80,2023010408,0.34889109609936825
81,2023010409,0.34889109609936825
82,2023010410,0.34889109609936825
83,2023010411,0.34889109609936825
84,2023010412,0.34889109609936825
85,2023010413,0.34889109609936825
86,2023010414,0.34889109609936825
